name,chrom.num,wings.present,wings.absent,
ADCAHA_Pterostichus_oblongopunctatus,13,0.09,0.91,G
ADCAHA_Pterostichus_spinolae,18,0.09,0.91,G
ADCAHA_Pterostichus_ziegleri,16,0.09,0.91,G
ADCASC_Scarites_buparius,17,0.4,0.6,G
ADCASC_Scarites_eurytus,22,0.33,0.67,G
ADCASC_Scarites_hespericus,26,0.33,0.67,G
ADCASC_Scarites_laevigatus,30,0.33,0.67,G
ADCASC_Scarites_occidentalis_M,20,0.33,0.67,G
ADCASC_Scarites_terricola,28,0.33,0.67,G
ADCAHA_Stenolophus_lecontei,12,1,0,
ADCAHA_Stenolophus_mixtus,17,0.9,0.1,G
ADCAHA_Stenolophus_teutonus,11,0.9,0.1,G
ADCAHA_Stomis_sp,18,0,1,
ADCATR_Trechus_obtusus,11,0.5,0.5,
ADCATR_Trechus_quadristriatus,11,1,0,
